name,release_date,price,developers,categories,genres,pct_pos_total,pct_pos_recent,num_reviews_total
Paunch,2019-12-04,0.0,['Kozhakov'],"['Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Partial Controller Support', 'Stats', 'Steam Leaderboards']",Massively Multiplayer,89,90,11126
V Rising,2024-05-08,34.99,['Stunlock Studios'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']",Massively Multiplayer,89,88,91965
STAR WARS™: The Old Republic™,2020-07-21,0.0,['Broadsword'],"['Multi-player', 'MMO', 'PvP', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']",Massively Multiplayer,89,85,66013
War of Rights,2018-12-03,29.99,['Campfire Games'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Family Sharing']",Massively Multiplayer,88,87,11256
Guild Wars 2,2022-08-23,0.0,['ArenaNet®'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'In-App Purchases']",Massively Multiplayer,88,84,20507
Rising Storm 2: Vietnam,2017-05-30,2.49,"['Antimatter Games', 'Tripwire Interactive']","['Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Stats', 'Includes level editor', 'Family Sharing']",Massively Multiplayer,87,90,39905
Verdun,2015-04-28,19.99,['BlackMill Games'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']",Massively Multiplayer,87,88,28477
FINAL FANTASY XIV Online,2014-02-18,19.99,['Square Enix'],"['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Partial Controller Support', 'Remote Play on Tablet', 'Family Sharing']",Massively Multiplayer,87,82,72564
Sky: Children of the Light,2024-04-10,0.0,['thatgamecompany'],"['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Full controller support', 'In-App Purchases', 'HDR available']",Massively Multiplayer,87,85,15941
Rust,2018-02-08,39.99,['Facepunch Studios'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Tablet']",Massively Multiplayer,87,87,993856
